"concentration","area","scenario","water","week"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.0166666666666667,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.000682061775309364,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.000232780431350427,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
1e-04,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.000135232600072124,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.0004969497560639,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00385714285714286,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.04,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.0214285714285714,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.000292312189418299,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.000285714285714286,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00137602321623451,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00119047619047619,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.0302857142857143,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.127380952380952,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00144439334434805,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.0311428571428571,"loading","Baseline","Wet","1"
0.0151428571428571,"loading","Baseline","Wet","1"
0.00727272727272727,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.000974373964727663,"loading","Baseline","Wet","1"
0.000640910466647968,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.0133333333333333,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
6e-04,"loading","Baseline","Wet","1"
0.000991705733862243,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.000878286982631775,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.035,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.000100615523451498,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
1.42857142857143e-05,"loading","Baseline","Wet","1"
0.330247933884298,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
1.28369704749679e-05,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.0522857142857143,"loading","Baseline","Wet","1"
4.2329,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00116924875767319,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00110871100222029,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00153263613415074,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.052,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
1e-04,"loading","Baseline","Wet","1"
0.000500657403815857,"loading","Baseline","Wet","1"
0.000201730550519955,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00184817886765236,"loading","Baseline","Wet","1"
0.00148809523809524,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00233849751534639,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.0366666666666667,"loading","Baseline","Wet","1"
0.196571428571429,"loading","Baseline","Wet","1"
1.42857142857143e-05,"loading","Baseline","Wet","1"
0.108333333333333,"loading","Baseline","Wet","1"
0.000142857142857143,"loading","Baseline","Wet","1"
