who,zone_item,x,y,zone,height,area,cleanable,equipment,part,out_links,in_links,undirected_links
0,bag-feed-belt,79,59,1,100,200000,TRUE,bag-packing,belt,1,1,0
1,bagging-station-01,63,42,1,90,240,TRUE,bag-packing,station,0,1,1
2,bagging-station-02,63,41,1,90,240,TRUE,bag-packing,station,0,0,0
3,bagging-station-03,63,40,1,90,240,TRUE,bag-packing,station,0,1,1
4,bagging-station-04,63,39,1,90,240,TRUE,bag-packing,station,0,1,1
5,bagging-station-05,63,38,1,90,240,TRUE,bag-packing,station,0,1,1
6,bagging-station-06,63,37,1,90,240,TRUE,bag-packing,station,0,1,1
7,bagging-station-07,63,36,1,90,240,TRUE,bag-packing,station,0,1,1
8,bagging-station-08,63,35,1,90,240,TRUE,bag-packing,station,0,1,1
9,bagging-station-09,63,34,1,90,240,TRUE,bag-packing,station,0,1,1
10,bagging-station-10,63,33,1,90,240,TRUE,bag-packing,station,0,1,1
11,employee,62,42,1,0,156.25,TRUE,bag-packing,,1,0,3
12,employee,62,40,1,0,156.25,TRUE,bag-packing,,1,0,3
13,employee,62,39,1,0,156.25,TRUE,bag-packing,,1,0,3
14,employee,62,38,1,0,156.25,TRUE,bag-packing,,1,0,3
15,employee,62,37,1,0,156.25,TRUE,bag-packing,,1,0,3
16,employee,62,36,1,0,156.25,TRUE,bag-packing,,1,0,3
17,employee,62,35,1,0,156.25,TRUE,bag-packing,,1,0,3
18,employee,62,34,1,0,156.25,TRUE,bag-packing,,1,0,3
19,employee,62,33,1,0,156.25,TRUE,bag-packing,,1,0,3
20,forklift,56,14,3,0,15000,TRUE,bag-packing,forklift,0,0,1
21,mop-station-02,78,86,3,100,500,TRUE,cleaning,mops,0,0,1
22,outlet-01,63,28,1,90,240,TRUE,bag-packing,station,0,0,0
23,outlet-02,63,28,1,90,240,TRUE,bag-packing,station,0,0,0
24,outlet-03,63,27,1,90,240,TRUE,bag-packing,station,0,0,0
25,outlet-04,63,27,1,90,240,TRUE,bag-packing,station,0,0,0
26,outlet-05,63,26,1,90,240,TRUE,bag-packing,station,0,0,0
27,outlet-06,63,26,1,90,240,TRUE,bag-packing,station,0,0,0
28,outlet-07,63,25,1,90,240,TRUE,bag-packing,station,0,0,0
29,outlet-08,63,25,1,90,240,TRUE,bag-packing,station,0,0,0
30,outlet-09,63,24,1,90,240,TRUE,bag-packing,station,0,0,0
31,outlet-10,63,24,1,90,240,TRUE,bag-packing,station,0,0,0
32,outlet-11,63,23,1,90,240,TRUE,bag-packing,station,0,0,0
33,outlet-12,63,23,1,90,240,TRUE,bag-packing,station,0,0,0
34,outlet-13,63,22,1,90,240,TRUE,bag-packing,station,0,0,0
35,outlet-14,63,22,1,90,240,TRUE,bag-packing,station,0,0,0
36,packing-circle-01,63,31,1,90,440,TRUE,bag-packing,station,0,0,0
37,packing-circle-02,64,31,1,90,440,TRUE,bag-packing,station,0,0,0
38,packing-circle-03,63,30,1,90,440,TRUE,bag-packing,station,0,0,0
39,packing-circle-04,64,30,1,90,440,TRUE,bag-packing,station,0,0,0
40,return-belt-bagging,62,21,1,0,1175,TRUE,bag-packing,belt,1,1,0
41,track-belt-02,63,45,1,100,1700,TRUE,bag-packing,belt,10,2,1
42,track-belt-02-reject-belt,62,21,1,0,1175,TRUE,bag-packing,belt,1,9,0
43,track-belt-02-reject-loader,62,21,1,0,7700,TRUE,bag-packing,,1,1,0
44,brush-bed,52,64,1,164,101772,TRUE,cleaning,culling,0,1,3
45,brush-bed-tray,52,64,2,100,101772,TRUE,cleaning,culling,2,0,4
46,drain,44,68,3,0,2380,TRUE,cleaning,floor,0,0,22
47,drain,47,56,3,0,3500,TRUE,cleaning,floor,0,0,1
48,drain,52,64,3,0,2380,TRUE,cleaning,floor,0,0,1
49,drain,55,61,3,0,1400,TRUE,cleaning,floor,0,0,1
50,drain,57,61,3,0,7000,TRUE,cleaning,floor,0,2,1
51,drain,65,84,3,0,10230,TRUE,cleaning,floor,0,0,1
52,dryer-belt,56,82,1,175,382720,FALSE,drying,dryer,2,1,0
53,dryer-mechanism,56,82,2,175,1148160,FALSE,drying,dryer,0,0,0
54,dryer-support,56,82,3,0,700,FALSE,drying,dryer,0,0,0
55,employee,53,55,1,130,156.25,TRUE,cleaning,,0,0,2
56,employee,104,19,1,130,156.25,TRUE,cleaning,,9,0,6
57,fans,52,75,1,164,179643,TRUE,cleaning,,1,0,6
58,flume-exit-rollers,52,54,1,140,26250,TRUE,cleaning,culling,1,1,0
59,reject-station,52,55,1,164,50115,TRUE,cleaning,,1,1,1
60,rinser,52,79,2,200,1000,FALSE,cleaning,,0,0,1
61,rollers,52,59,1,164,85324,TRUE,cleaning,,1,1,1
