"value","type","id","scenario"
0.49,"Mean Times Persistent (Per It.)",1,"Baseline"
0.42,"Mean Times Persistent (Per It.)",2,"Baseline"
0.47,"Mean Times Persistent (Per It.)",3,"Baseline"
0.48,"Mean Times Persistent (Per It.)",4,"Baseline"
0.44,"Mean Times Persistent (Per It.)",5,"Baseline"
0.31,"Mean Times Persistent (Per It.)",6,"Baseline"
0.48,"Mean Times Persistent (Per It.)",7,"Baseline"
0.09,"Mean Times Persistent (Per It.)",8,"Baseline"
0.01,"Mean Times Persistent (Per It.)",9,"Baseline"
0.08,"Mean Times Persistent (Per It.)",10,"Baseline"
0.37,"Mean Times Persistent (Per It.)",11,"Baseline"
0.01,"Mean Times Persistent (Per It.)",12,"Baseline"
0.03,"Mean Times Persistent (Per It.)",13,"Baseline"
0.66,"Mean Times Persistent (Per It.)",14,"Baseline"
0,"Mean Times Persistent (Per It.)",15,"Baseline"
0.03,"Mean Times Persistent (Per It.)",16,"Baseline"
0.02,"Mean Times Persistent (Per It.)",17,"Baseline"
0.28,"Mean Times Persistent (Per It.)",18,"Baseline"
0.64,"Mean Times Persistent (Per It.)",19,"Baseline"
0.48,"Mean Times Persistent (Per It.)",20,"Baseline"
0,"Mean Times Persistent (Per It.)",21,"Baseline"
0,"Mean Times Persistent (Per It.)",22,"Baseline"
0,"Mean Times Persistent (Per It.)",23,"Baseline"
0,"Mean Times Persistent (Per It.)",24,"Baseline"
0.01,"Mean Times Persistent (Per It.)",25,"Baseline"
0.42,"Mean Times Persistent (Per It.)",26,"Baseline"
0.25,"Mean Times Persistent (Per It.)",27,"Baseline"
0.02,"Mean Times Persistent (Per It.)",28,"Baseline"
0,"Mean Times Persistent (Per It.)",29,"Baseline"
1.52,"Mean Times Persistent (Per It.)",30,"Baseline"
0.17,"Mean Times Persistent (Per It.)",31,"Baseline"
0.79,"Mean Times Persistent (Per It.)",32,"Baseline"
0.67,"Mean Times Persistent (Per It.)",33,"Baseline"
0.63,"Mean Times Persistent (Per It.)",34,"Baseline"
0.14,"Mean Times Persistent (Per It.)",35,"Baseline"
0.1,"Mean Times Persistent (Per It.)",36,"Baseline"
0.97,"Mean Times Persistent (Per It.)",37,"Baseline"
1.02,"Mean Times Persistent (Per It.)",38,"Baseline"
0.11,"Mean Times Persistent (Per It.)",39,"Baseline"
0.17,"Mean Times Persistent (Per It.)",40,"Baseline"
1.06,"Mean Times Persistent (Per It.)",41,"Baseline"
0.32,"Mean Times Persistent (Per It.)",42,"Baseline"
0.37,"Mean Times Persistent (Per It.)",43,"Baseline"
0.08,"Mean Times Persistent (Per It.)",44,"Baseline"
0.08,"Mean Times Persistent (Per It.)",45,"Baseline"
0.33,"Mean Times Persistent (Per It.)",46,"Baseline"
0,"Mean Times Persistent (Per It.)",47,"Baseline"
0.01,"Mean Times Persistent (Per It.)",48,"Baseline"
0.01,"Mean Times Persistent (Per It.)",49,"Baseline"
0,"Mean Times Persistent (Per It.)",50,"Baseline"
0.02,"Mean Times Persistent (Per It.)",51,"Baseline"
0.01,"Mean Times Persistent (Per It.)",52,"Baseline"
0.02,"Mean Times Persistent (Per It.)",53,"Baseline"
0,"Mean Times Persistent (Per It.)",54,"Baseline"
0,"Mean Times Persistent (Per It.)",55,"Baseline"
0.17,"Mean Times Persistent (Per It.)",56,"Baseline"
0.01,"Mean Times Persistent (Per It.)",57,"Baseline"
0.02,"Mean Times Persistent (Per It.)",58,"Baseline"
0.01,"Mean Times Persistent (Per It.)",59,"Baseline"
0.06,"Mean Times Persistent (Per It.)",60,"Baseline"
0.08,"Mean Times Persistent (Per It.)",61,"Baseline"
0.1,"Mean Times Persistent (Per It.)",62,"Baseline"
0,"Mean Times Persistent (Per It.)",63,"Baseline"
0.01,"Mean Times Persistent (Per It.)",64,"Baseline"
0,"Mean Times Persistent (Per It.)",65,"Baseline"
0.01,"Mean Times Persistent (Per It.)",66,"Baseline"
0.01,"Mean Times Persistent (Per It.)",67,"Baseline"
0.01,"Mean Times Persistent (Per It.)",68,"Baseline"
0.03,"Mean Times Persistent (Per It.)",69,"Baseline"
0.02,"Mean Times Persistent (Per It.)",70,"Baseline"
0.01,"Mean Times Persistent (Per It.)",71,"Baseline"
0.01,"Mean Times Persistent (Per It.)",72,"Baseline"
0.03,"Mean Times Persistent (Per It.)",73,"Baseline"
0.01,"Mean Times Persistent (Per It.)",74,"Baseline"
0,"Mean Times Persistent (Per It.)",75,"Baseline"
0.68,"Mean Times Persistent (Per It.)",76,"Baseline"
0.25,"Mean Times Persistent (Per It.)",77,"Baseline"
0.39,"Mean Times Persistent (Per It.)",78,"Baseline"
0.69,"Mean Times Persistent (Per It.)",79,"Baseline"
0.04,"Mean Times Persistent (Per It.)",80,"Baseline"
0,"Mean Times Persistent (Per It.)",81,"Baseline"
0,"Mean Times Persistent (Per It.)",82,"Baseline"
0.07,"Mean Times Persistent (Per It.)",83,"Baseline"
0,"Mean Times Persistent (Per It.)",84,"Baseline"
0,"Mean Times Persistent (Per It.)",85,"Baseline"
0,"Mean Times Persistent (Per It.)",86,"Baseline"
0.01,"Mean Times Persistent (Per It.)",87,"Baseline"
0.01,"Mean Times Persistent (Per It.)",88,"Baseline"
0.06,"Mean Times Persistent (Per It.)",89,"Baseline"
0.06,"Mean Times Persistent (Per It.)",90,"Baseline"
0,"Mean Times Persistent (Per It.)",91,"Baseline"
0,"Mean Times Persistent (Per It.)",92,"Baseline"
0,"Mean Times Persistent (Per It.)",93,"Baseline"
0.01,"Mean Times Persistent (Per It.)",94,"Baseline"
0.02,"Mean Times Persistent (Per It.)",95,"Baseline"
0.02,"Mean Times Persistent (Per It.)",96,"Baseline"
0.01,"Mean Times Persistent (Per It.)",97,"Baseline"
0.01,"Mean Times Persistent (Per It.)",98,"Baseline"
0.01,"Mean Times Persistent (Per It.)",99,"Baseline"
0.1,"Mean Times Persistent (Per It.)",100,"Baseline"
0,"Mean Times Persistent (Per It.)",101,"Baseline"
0,"Mean Times Persistent (Per It.)",102,"Baseline"
0.02,"Mean Times Persistent (Per It.)",103,"Baseline"
0.02,"Mean Times Persistent (Per It.)",104,"Baseline"
0.01,"Mean Times Persistent (Per It.)",105,"Baseline"
0.02,"Mean Times Persistent (Per It.)",106,"Baseline"
0.01,"Mean Times Persistent (Per It.)",107,"Baseline"
0.02,"Mean Times Persistent (Per It.)",108,"Baseline"
0.04,"Mean Times Persistent (Per It.)",109,"Baseline"
0.02,"Mean Times Persistent (Per It.)",110,"Baseline"
0,"Mean Times Persistent (Per It.)",111,"Baseline"
0.02,"Mean Times Persistent (Per It.)",112,"Baseline"
0.01,"Mean Times Persistent (Per It.)",113,"Baseline"
0.01,"Mean Times Persistent (Per It.)",114,"Baseline"
0.02,"Mean Times Persistent (Per It.)",115,"Baseline"
0.02,"Mean Times Persistent (Per It.)",116,"Baseline"
0.01,"Mean Times Persistent (Per It.)",117,"Baseline"
0.01,"Mean Times Persistent (Per It.)",118,"Baseline"
0.01,"Mean Times Persistent (Per It.)",119,"Baseline"
0.01,"Mean Times Persistent (Per It.)",120,"Baseline"
0,"Mean Times Persistent (Per It.)",121,"Baseline"
0,"Mean Times Persistent (Per It.)",122,"Baseline"
0.03,"Mean Times Persistent (Per It.)",123,"Baseline"
0.02,"Mean Times Persistent (Per It.)",124,"Baseline"
0,"Mean Times Persistent (Per It.)",125,"Baseline"
