"","PRCC","p.Value","abs"
"crate_prevalence",0.193112722721265,7.40569277167391e-10,0.193112722721265
"food_conc",0.638652586910455,1.07122378349351e-115,0.638652586910455
"food_tc",0.170451317565249,5.85626453678739e-08,0.170451317565249
"random_load",0.112842902325037,0.000349735483964196,0.112842902325037
"p_zone4_intro",0.106984385016232,0.000702397432173305,0.106984385016232
"p11",0.42755273652589,1.04918148538768e-45,0.42755273652589
"p13",-0.103779151210461,0.00101419823417157,0.103779151210461
"p31",0.14029974113407,8.46151129128083e-06,0.14029974113407
"tc11",0.165750756791674,1.35352336450536e-07,0.165750756791674
"tc13",-0.157929446597265,5.18187804955864e-07,0.157929446597265
