who,zone_item,x,y,zone,height,area,cleanable,equipment,part,out_links,in_links,undirected_links,max-contam-bout,contacts,transfers,food,zone_4,random
0,control-panel,43,49,2,145,250,TRUE,loading,surrounding-parts,0,0,0,0,0,0,0,0,0
1,produce-crate-01,16,46,1,0,10000,TRUE,loading,introduction,1,0,5,80,155,28,15.87301587,0,0
2,produce-crate-02,19,46,1,0,10000,TRUE,loading,surrounding-parts,0,0,5,8,141,18,0,0,0
3,dumper-sandwich-juncture,21,51,2,0,25,FALSE,loading,surrounding-parts,0,0,1,172,5,9,0,0,0
4,drain-under-dumper,21,51,3,0,625,FALSE,loading,floor,0,0,1,118,16,16,0,0,0
5,trench-drain-under-flume,21,51,3,0,45625,FALSE,loading,floor,0,5,1,119,49,36,0,0,0
6,dumper,21,51,2,200,5000,TRUE,loading,surrounding-parts,1,0,4,214,36,179,0,0,0
7,flume,21,51,1,140,236250,TRUE,loading,flume,2,1,2,214,108,22,0,0,0
8,loading-track,15,46,3,0,4200,TRUE,loading,floor,0,0,1,7,4,8,0,0,0
9,loading-track,17,46,3,0,4200,TRUE,loading,floor,0,0,1,7,2,2,0,0,0
10,loading-track,18,46,3,0,4200,TRUE,loading,floor,0,0,1,3,3,10,0,0,0
11,loading-track,20,46,3,0,4200,TRUE,loading,floor,0,0,1,4,1,3,0,0,0
12,brush-bed-inspection,58,51,1,160,43750,FALSE,cleaning,culling,5,1,3,122,33,11,0,0,0
13,brush-bed-inspection-catch-pan,58,51,2,100,43750,FALSE,cleaning,culling,1,0,1,0,4,23,0,0,0
14,debris-chute-west,58,53,2,160,225,FALSE,cleaning,culling,1,1,0,0,1,7,0,0,0
15,debris-chute-east,58,49,2,160,625,FALSE,cleaning,culling,1,1,0,0,1,7,0,0,0
16,fan-rollers,62,51,1,140,310625,FALSE,cleaning,,4,1,5,0,0,0,0,0,0
17,roller-tubing,85,50,2,160,942.48,FALSE,cleaning,,0,1,0,0,0,0,0,0,0
18,fan-rollers-catch-pan,62,51,2,100,310625,FALSE,cleaning,,1,1,1,0,0,0,0,0,0
19,flume-exit-rollers,52,51,1,140,26250,TRUE,cleaning,culling,3,1,0,123,6,12,0,0,0
20,fans,65,51,2,170,109375,TRUE,cleaning,,0,0,2,0,0,0,0,0,0
21,hot-fans,100,51,2,180,240625,TRUE,drying,,0,0,1,0,0,0,0,0,0
22,large-debris-filter,47,51,1,160,37500,TRUE,cleaning,,3,1,0,143,9,8,0,0,0
23,naw-bin,48,54,1,0,3750,FALSE,cleaning,,0,1,1,0,0,0,0,0,0
24,warm-fans,77,51,2,170,74375,TRUE,cleaning,,0,0,2,0,0,0,0,0,0
25,naw-belt,49,54,1,190,3750,TRUE,cleaning,,1,1,0,51,2,0,0,0,0
26,rot-trolley,58,51,1,5,10000,FALSE,cleaning,culling,0,7,0,48,30,8,0,0,0
27,rot-trolley-track,58,50,3,0,1250,FALSE,cleaning,floor,0,0,0,0,0,0,0,0,0
28,drain-under-cleaning,59,51,3,0,50,TRUE,cleaning,floor,0,2,0,0,0,0,0,0,0
29,trench-drain-cleaning,85,51,3,0,30500,TRUE,cleaning,floor,1,1,1,0,0,0,0,0,0
30,waxer-support,85,51,2,100,1750,FALSE,cleaning,,0,0,1,0,0,0,0,0,0
31,roller-area-sponge-squeegee,57,49,3,130,40,FALSE,cleaning,,0,0,1,22,2,4,0,0,0
32,naw-bin-feet,48,54,3,0,301.59,FALSE,cleaning,floor,0,0,1,0,0,0,0,0,0
33,produce-crate-03,17,34,1,5,10000,TRUE,reject,crate,0,1,3,8,127,20,0,0,0
34,produce-crate-04,17,31,1,5,10000,TRUE,reject,crate,0,1,3,8,121,18,0,0,0
35,produce-crate-05,17,28,1,5,10000,TRUE,reject,crate,0,1,3,8,121,13,0,0,0
36,crate-filler-01,17,34,1,180,18000,TRUE,reject,filler,1,1,0,50,5,3,0,0,0
37,crate-filler-02,17,31,1,180,18000,TRUE,reject,filler,1,1,0,168,6,7,0,0,0
38,crate-filler-03,17,28,1,180,18000,TRUE,reject,filler,1,1,0,51,2,5,0,0,0
39,loader-belt-01,22,34,1,20,17500,TRUE,reject,belt,1,1,0,0,0,0,0,0,0
40,loader-belt-02,23,31,1,20,22500,TRUE,reject,belt,1,1,0,1,4,0,0,0,0
41,loader-belt-03,24,28,1,20,27500,TRUE,reject,belt,1,1,0,0,0,0,0,0,0
42,reject-belt,27,33,1,180,7500,TRUE,reject,belt,1,1,0,190,5,4,0,0,0
43,reject-belt,29,29,1,180,15000,TRUE,reject,belt,1,1,0,0,0,0,0,0,0
44,reject-loading-belt-01,18,34,1,180,9000,TRUE,reject,belt,1,1,0,0,0,2,0,0,0
45,reject-loading-belt-02,18,31,1,180,9000,TRUE,reject,belt,1,1,0,1,1,5,0,0,0
46,reject-loading-belt-03,18,28,1,180,9000,TRUE,reject,belt,1,1,0,0,2,1,0,0,0
47,small-produce-filter,26,36,1,103,7700,TRUE,reject,belt,2,1,0,0,0,0,0,0,0
48,small-produce-crate-feed,26,36,1,70,6000,TRUE,reject,belt,0,1,0,0,0,0,0,0,0
49,hot-room-belt,100,51,1,140,109375,TRUE,drying,belt,2,1,1,0,0,0,0,0,0
