"concentration","area","scenario","water","week"
0,"loading","Baseline","Wet","1"
0.0916666666666667,"loading","Baseline","Wet","1"
7.2184,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
2e-04,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00119047619047619,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00360620266858997,"loading","Baseline","Wet","1"
0.00174585323512811,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00633343077072981,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
8.58732688823229e-06,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.101571428571429,"loading","Baseline","Wet","1"
0.00604111858131151,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.000672343787615856,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00476190476190476,"loading","Baseline","Wet","1"
0.00166666666666667,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.0183333333333333,"loading","Baseline","Wet","1"
0.0227281076060416,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.000992063492063492,"loading","Baseline","Wet","1"
0.000631085467003246,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
13.683,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.000586740948902857,"loading","Baseline","Wet","1"
0.0419834710743802,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.000974373964727663,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00285714285714286,"loading","Baseline","Wet","1"
0.000360620266858997,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
5.1898,"loading","Baseline","Wet","1"
0.0224285714285714,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.02,"loading","Baseline","Wet","1"
0.000175423278354531,"loading","Baseline","Wet","1"
0.000238095238095238,"loading","Baseline","Wet","1"
0.853571428571429,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.0268571428571429,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00119047619047619,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
2e-04,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.001,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00324558240173098,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.00302975856960824,"loading","Baseline","Wet","1"
0.0107181136120043,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.191666666666667,"loading","Baseline","Wet","1"
17.1966,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
9e-04,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
0.0114046159394158,"loading","Baseline","Wet","1"
