"prevalence","scenario","water","week"
15.0943396226415,"Baseline","Wet","1"
30.188679245283,"Baseline","Wet","1"
33.9622641509434,"Baseline","Wet","1"
37.7358490566038,"Baseline","Wet","1"
56.6037735849057,"Baseline","Wet","1"
16.9811320754717,"Baseline","Wet","1"
20.7547169811321,"Baseline","Wet","1"
16.9811320754717,"Baseline","Wet","1"
30.188679245283,"Baseline","Wet","1"
22.6415094339623,"Baseline","Wet","1"
5.66037735849057,"Baseline","Wet","1"
5.66037735849057,"Baseline","Wet","1"
18.8679245283019,"Baseline","Wet","1"
5.66037735849057,"Baseline","Wet","1"
3.77358490566038,"Baseline","Wet","1"
54.7169811320755,"Baseline","Wet","1"
1.88679245283019,"Baseline","Wet","1"
30.188679245283,"Baseline","Wet","1"
15.0943396226415,"Baseline","Wet","1"
5.66037735849057,"Baseline","Wet","1"
9.43396226415094,"Baseline","Wet","1"
35.8490566037736,"Baseline","Wet","1"
33.9622641509434,"Baseline","Wet","1"
0,"Baseline","Wet","1"
41.5094339622642,"Baseline","Wet","1"
35.8490566037736,"Baseline","Wet","1"
39.622641509434,"Baseline","Wet","1"
9.43396226415094,"Baseline","Wet","1"
7.54716981132075,"Baseline","Wet","1"
35.8490566037736,"Baseline","Wet","1"
5.66037735849057,"Baseline","Wet","1"
50.9433962264151,"Baseline","Wet","1"
1.88679245283019,"Baseline","Wet","1"
5.66037735849057,"Baseline","Wet","1"
24.5283018867925,"Baseline","Wet","1"
43.3962264150943,"Baseline","Wet","1"
18.8679245283019,"Baseline","Wet","1"
26.4150943396226,"Baseline","Wet","1"
41.5094339622642,"Baseline","Wet","1"
47.1698113207547,"Baseline","Wet","1"
37.7358490566038,"Baseline","Wet","1"
5.66037735849057,"Baseline","Wet","1"
22.6415094339623,"Baseline","Wet","1"
1.88679245283019,"Baseline","Wet","1"
13.2075471698113,"Baseline","Wet","1"
32.0754716981132,"Baseline","Wet","1"
49.0566037735849,"Baseline","Wet","1"
33.9622641509434,"Baseline","Wet","1"
28.3018867924528,"Baseline","Wet","1"
56.6037735849057,"Baseline","Wet","1"
24.5283018867925,"Baseline","Wet","1"
3.77358490566038,"Baseline","Wet","1"
0,"Baseline","Wet","1"
47.1698113207547,"Baseline","Wet","1"
45.2830188679245,"Baseline","Wet","1"
11.3207547169811,"Baseline","Wet","1"
49.0566037735849,"Baseline","Wet","1"
16.9811320754717,"Baseline","Wet","1"
1.88679245283019,"Baseline","Wet","1"
13.2075471698113,"Baseline","Wet","1"
35.8490566037736,"Baseline","Wet","1"
11.3207547169811,"Baseline","Wet","1"
9.43396226415094,"Baseline","Wet","1"
16.9811320754717,"Baseline","Wet","1"
58.4905660377358,"Baseline","Wet","1"
3.77358490566038,"Baseline","Wet","1"
18.8679245283019,"Baseline","Wet","1"
13.2075471698113,"Baseline","Wet","1"
16.9811320754717,"Baseline","Wet","1"
49.0566037735849,"Baseline","Wet","1"
39.622641509434,"Baseline","Wet","1"
56.6037735849057,"Baseline","Wet","1"
11.3207547169811,"Baseline","Wet","1"
35.8490566037736,"Baseline","Wet","1"
15.0943396226415,"Baseline","Wet","1"
7.54716981132075,"Baseline","Wet","1"
28.3018867924528,"Baseline","Wet","1"
30.188679245283,"Baseline","Wet","1"
7.54716981132075,"Baseline","Wet","1"
39.622641509434,"Baseline","Wet","1"
26.4150943396226,"Baseline","Wet","1"
37.7358490566038,"Baseline","Wet","1"
5.66037735849057,"Baseline","Wet","1"
3.77358490566038,"Baseline","Wet","1"
15.0943396226415,"Baseline","Wet","1"
1.88679245283019,"Baseline","Wet","1"
0,"Baseline","Wet","1"
30.188679245283,"Baseline","Wet","1"
26.4150943396226,"Baseline","Wet","1"
39.622641509434,"Baseline","Wet","1"
0,"Baseline","Wet","1"
45.2830188679245,"Baseline","Wet","1"
41.5094339622642,"Baseline","Wet","1"
11.3207547169811,"Baseline","Wet","1"
1.88679245283019,"Baseline","Wet","1"
0,"Baseline","Wet","1"
43.3962264150943,"Baseline","Wet","1"
1.88679245283019,"Baseline","Wet","1"
20.7547169811321,"Baseline","Wet","1"
47.1698113207547,"Baseline","Wet","1"
4.67836257309941,"Baseline","Dry","1"
4.67836257309941,"Baseline","Dry","1"
5.84795321637427,"Baseline","Dry","1"
7.60233918128655,"Baseline","Dry","1"
6.4327485380117,"Baseline","Dry","1"
3.50877192982456,"Baseline","Dry","1"
3.50877192982456,"Baseline","Dry","1"
