"value","type","id","scenario"
0,"Mean Times Persistent (Per It.)",1,"Baseline"
0,"Mean Times Persistent (Per It.)",2,"Baseline"
0,"Mean Times Persistent (Per It.)",3,"Baseline"
0,"Mean Times Persistent (Per It.)",4,"Baseline"
0,"Mean Times Persistent (Per It.)",5,"Baseline"
0,"Mean Times Persistent (Per It.)",6,"Baseline"
0,"Mean Times Persistent (Per It.)",7,"Baseline"
0,"Mean Times Persistent (Per It.)",8,"Baseline"
0,"Mean Times Persistent (Per It.)",9,"Baseline"
0,"Mean Times Persistent (Per It.)",10,"Baseline"
0,"Mean Times Persistent (Per It.)",11,"Baseline"
0,"Mean Times Persistent (Per It.)",12,"Baseline"
0,"Mean Times Persistent (Per It.)",13,"Baseline"
0,"Mean Times Persistent (Per It.)",14,"Baseline"
0,"Mean Times Persistent (Per It.)",15,"Baseline"
0,"Mean Times Persistent (Per It.)",16,"Baseline"
0,"Mean Times Persistent (Per It.)",17,"Baseline"
0,"Mean Times Persistent (Per It.)",18,"Baseline"
0,"Mean Times Persistent (Per It.)",19,"Baseline"
0,"Mean Times Persistent (Per It.)",20,"Baseline"
0,"Mean Times Persistent (Per It.)",21,"Baseline"
0,"Mean Times Persistent (Per It.)",22,"Baseline"
0,"Mean Times Persistent (Per It.)",23,"Baseline"
0,"Mean Times Persistent (Per It.)",24,"Baseline"
0,"Mean Times Persistent (Per It.)",25,"Baseline"
0,"Mean Times Persistent (Per It.)",26,"Baseline"
0,"Mean Times Persistent (Per It.)",27,"Baseline"
0,"Mean Times Persistent (Per It.)",28,"Baseline"
0,"Mean Times Persistent (Per It.)",29,"Baseline"
0,"Mean Times Persistent (Per It.)",30,"Baseline"
0,"Mean Times Persistent (Per It.)",31,"Baseline"
0,"Mean Times Persistent (Per It.)",32,"Baseline"
0,"Mean Times Persistent (Per It.)",33,"Baseline"
0,"Mean Times Persistent (Per It.)",34,"Baseline"
0,"Mean Times Persistent (Per It.)",35,"Baseline"
0,"Mean Times Persistent (Per It.)",36,"Baseline"
0,"Mean Times Persistent (Per It.)",37,"Baseline"
0,"Mean Times Persistent (Per It.)",38,"Baseline"
0,"Mean Times Persistent (Per It.)",39,"Baseline"
0,"Mean Times Persistent (Per It.)",40,"Baseline"
0,"Mean Times Persistent (Per It.)",41,"Baseline"
0,"Mean Times Persistent (Per It.)",42,"Baseline"
0,"Mean Times Persistent (Per It.)",43,"Baseline"
0.04,"Mean Times Persistent (Per It.)",44,"Baseline"
0.01,"Mean Times Persistent (Per It.)",45,"Baseline"
0,"Mean Times Persistent (Per It.)",46,"Baseline"
0,"Mean Times Persistent (Per It.)",47,"Baseline"
0,"Mean Times Persistent (Per It.)",48,"Baseline"
0,"Mean Times Persistent (Per It.)",49,"Baseline"
0,"Mean Times Persistent (Per It.)",50,"Baseline"
0,"Mean Times Persistent (Per It.)",51,"Baseline"
0,"Mean Times Persistent (Per It.)",52,"Baseline"
0,"Mean Times Persistent (Per It.)",53,"Baseline"
0,"Mean Times Persistent (Per It.)",54,"Baseline"
0,"Mean Times Persistent (Per It.)",55,"Baseline"
0,"Mean Times Persistent (Per It.)",56,"Baseline"
0,"Mean Times Persistent (Per It.)",57,"Baseline"
0,"Mean Times Persistent (Per It.)",58,"Baseline"
0,"Mean Times Persistent (Per It.)",59,"Baseline"
0,"Mean Times Persistent (Per It.)",60,"Baseline"
0,"Mean Times Persistent (Per It.)",61,"Baseline"
0.83,"Mean Times Persistent (Per It.)",62,"Baseline"
0.77,"Mean Times Persistent (Per It.)",63,"Baseline"
0.66,"Mean Times Persistent (Per It.)",64,"Baseline"
0.78,"Mean Times Persistent (Per It.)",65,"Baseline"
0.79,"Mean Times Persistent (Per It.)",66,"Baseline"
0.72,"Mean Times Persistent (Per It.)",67,"Baseline"
0.76,"Mean Times Persistent (Per It.)",68,"Baseline"
0.72,"Mean Times Persistent (Per It.)",69,"Baseline"
0,"Mean Times Persistent (Per It.)",70,"Baseline"
0,"Mean Times Persistent (Per It.)",71,"Baseline"
0.78,"Mean Times Persistent (Per It.)",72,"Baseline"
0.79,"Mean Times Persistent (Per It.)",73,"Baseline"
0.4,"Mean Times Persistent (Per It.)",74,"Baseline"
0.79,"Mean Times Persistent (Per It.)",75,"Baseline"
0.79,"Mean Times Persistent (Per It.)",76,"Baseline"
0.4,"Mean Times Persistent (Per It.)",77,"Baseline"
0.42,"Mean Times Persistent (Per It.)",78,"Baseline"
0.7,"Mean Times Persistent (Per It.)",79,"Baseline"
0.72,"Mean Times Persistent (Per It.)",80,"Baseline"
0.63,"Mean Times Persistent (Per It.)",81,"Baseline"
0.8,"Mean Times Persistent (Per It.)",82,"Baseline"
0.26,"Mean Times Persistent (Per It.)",83,"Baseline"
0.41,"Mean Times Persistent (Per It.)",84,"Baseline"
0.46,"Mean Times Persistent (Per It.)",85,"Baseline"
0,"Mean Times Persistent (Per It.)",86,"Baseline"
0.48,"Mean Times Persistent (Per It.)",87,"Baseline"
0.03,"Mean Times Persistent (Per It.)",88,"Baseline"
0.77,"Mean Times Persistent (Per It.)",89,"Baseline"
0.77,"Mean Times Persistent (Per It.)",90,"Baseline"
0.77,"Mean Times Persistent (Per It.)",91,"Baseline"
0.74,"Mean Times Persistent (Per It.)",92,"Baseline"
0.75,"Mean Times Persistent (Per It.)",93,"Baseline"
0.73,"Mean Times Persistent (Per It.)",94,"Baseline"
0.78,"Mean Times Persistent (Per It.)",95,"Baseline"
0.79,"Mean Times Persistent (Per It.)",96,"Baseline"
0,"Mean Times Persistent (Per It.)",97,"Baseline"
0.03,"Mean Times Persistent (Per It.)",98,"Baseline"
0,"Mean Times Persistent (Per It.)",99,"Baseline"
0,"Mean Times Persistent (Per It.)",100,"Baseline"
0,"Mean Times Persistent (Per It.)",101,"Baseline"
0.02,"Mean Times Persistent (Per It.)",102,"Baseline"
0,"Mean Times Persistent (Per It.)",103,"Baseline"
0,"Mean Times Persistent (Per It.)",104,"Baseline"
0,"Mean Times Persistent (Per It.)",105,"Baseline"
0,"Mean Times Persistent (Per It.)",106,"Baseline"
0,"Mean Times Persistent (Per It.)",107,"Baseline"
0,"Mean Times Persistent (Per It.)",108,"Baseline"
0.01,"Mean Times Persistent (Per It.)",109,"Baseline"
0,"Mean Times Persistent (Per It.)",110,"Baseline"
0,"Mean Times Persistent (Per It.)",111,"Baseline"
0,"Mean Times Persistent (Per It.)",112,"Baseline"
0,"Mean Times Persistent (Per It.)",113,"Baseline"
0.65,"Mean Times Persistent (Per It.)",114,"Baseline"
0.21,"Mean Times Persistent (Per It.)",115,"Baseline"
0.03,"Mean Times Persistent (Per It.)",116,"Baseline"
0.02,"Mean Times Persistent (Per It.)",117,"Baseline"
0.01,"Mean Times Persistent (Per It.)",118,"Baseline"
0,"Mean Times Persistent (Per It.)",119,"Baseline"
0,"Mean Times Persistent (Per It.)",120,"Baseline"
0,"Mean Times Persistent (Per It.)",121,"Baseline"
0,"Mean Times Persistent (Per It.)",122,"Baseline"
0,"Mean Times Persistent (Per It.)",123,"Baseline"
0,"Mean Times Persistent (Per It.)",124,"Baseline"
0,"Mean Times Persistent (Per It.)",125,"Baseline"
0.02,"Mean Times Persistent (Per It.)",126,"Baseline"
0.01,"Mean Times Persistent (Per It.)",127,"Baseline"
0.01,"Mean Times Persistent (Per It.)",128,"Baseline"
0.02,"Mean Times Persistent (Per It.)",129,"Baseline"
0,"Mean Times Persistent (Per It.)",130,"Baseline"
0,"Mean Times Persistent (Per It.)",131,"Baseline"
0,"Mean Times Persistent (Per It.)",132,"Baseline"
0,"Mean Times Persistent (Per It.)",133,"Baseline"
0,"Mean Times Persistent (Per It.)",134,"Baseline"
0.04,"Mean Times Persistent (Per It.)",135,"Baseline"
0.01,"Mean Times Persistent (Per It.)",136,"Baseline"
0,"Mean Times Persistent (Per It.)",137,"Baseline"
0,"Mean Times Persistent (Per It.)",138,"Baseline"
0,"Mean Times Persistent (Per It.)",139,"Baseline"
0,"Mean Times Persistent (Per It.)",140,"Baseline"
0.14,"Mean Times Persistent (Per It.)",141,"Baseline"
0,"Mean Times Persistent (Per It.)",142,"Baseline"
0,"Mean Times Persistent (Per It.)",143,"Baseline"
0.77,"Mean Times Persistent (Per It.)",144,"Baseline"
0.01,"Mean Times Persistent (Per It.)",145,"Baseline"
0,"Mean Times Persistent (Per It.)",146,"Baseline"
0.01,"Mean Times Persistent (Per It.)",147,"Baseline"
0,"Mean Times Persistent (Per It.)",148,"Baseline"
0.03,"Mean Times Persistent (Per It.)",149,"Baseline"
0,"Mean Times Persistent (Per It.)",150,"Baseline"
0.12,"Mean Times Persistent (Per It.)",151,"Baseline"
0,"Mean Times Persistent (Per It.)",152,"Baseline"
0,"Mean Times Persistent (Per It.)",153,"Baseline"
0,"Mean Times Persistent (Per It.)",154,"Baseline"
0,"Mean Times Persistent (Per It.)",155,"Baseline"
0,"Mean Times Persistent (Per It.)",156,"Baseline"
0,"Mean Times Persistent (Per It.)",157,"Baseline"
0,"Mean Times Persistent (Per It.)",158,"Baseline"
0,"Mean Times Persistent (Per It.)",159,"Baseline"
0,"Mean Times Persistent (Per It.)",160,"Baseline"
0,"Mean Times Persistent (Per It.)",161,"Baseline"
0,"Mean Times Persistent (Per It.)",162,"Baseline"
0,"Mean Times Persistent (Per It.)",163,"Baseline"
0,"Mean Times Persistent (Per It.)",164,"Baseline"
0,"Mean Times Persistent (Per It.)",165,"Baseline"
0,"Mean Times Persistent (Per It.)",166,"Baseline"
0,"Mean Times Persistent (Per It.)",167,"Baseline"
0,"Mean Times Persistent (Per It.)",168,"Baseline"
0,"Mean Times Persistent (Per It.)",169,"Baseline"
0,"Mean Times Persistent (Per It.)",170,"Baseline"
0,"Mean Times Persistent (Per It.)",171,"Baseline"
0,"Mean Times Persistent (Per It.)",172,"Baseline"
0,"Mean Times Persistent (Per It.)",173,"Baseline"
0,"Mean Times Persistent (Per It.)",174,"Baseline"
0,"Mean Times Persistent (Per It.)",175,"Baseline"
0,"Mean Times Persistent (Per It.)",176,"Baseline"
0,"Mean Times Persistent (Per It.)",177,"Baseline"
0,"Mean Times Persistent (Per It.)",178,"Baseline"
0,"Mean Times Persistent (Per It.)",179,"Baseline"
0,"Mean Times Persistent (Per It.)",180,"Baseline"
0,"Mean Times Persistent (Per It.)",181,"Baseline"
0,"Mean Times Persistent (Per It.)",182,"Baseline"
0,"Mean Times Persistent (Per It.)",183,"Baseline"
0,"Mean Times Persistent (Per It.)",184,"Baseline"
0,"Mean Times Persistent (Per It.)",185,"Baseline"
0,"Mean Times Persistent (Per It.)",186,"Baseline"
0,"Mean Times Persistent (Per It.)",187,"Baseline"
0,"Mean Times Persistent (Per It.)",188,"Baseline"
0,"Mean Times Persistent (Per It.)",189,"Baseline"
0.01,"Mean Times Persistent (Per It.)",190,"Baseline"
0,"Mean Times Persistent (Per It.)",191,"Baseline"
0,"Mean Times Persistent (Per It.)",192,"Baseline"
0,"Mean Times Persistent (Per It.)",193,"Baseline"
0,"Mean Times Persistent (Per It.)",194,"Baseline"
0,"Mean Times Persistent (Per It.)",195,"Baseline"
0.09,"Mean Times Persistent (Per It.)",196,"Baseline"
0.01,"Mean Times Persistent (Per It.)",197,"Baseline"
0.03,"Mean Times Persistent (Per It.)",198,"Baseline"
0.03,"Mean Times Persistent (Per It.)",199,"Baseline"
0.03,"Mean Times Persistent (Per It.)",200,"Baseline"
0,"Mean Times Persistent (Per It.)",201,"Baseline"
0,"Mean Times Persistent (Per It.)",202,"Baseline"
0,"Mean Times Persistent (Per It.)",203,"Baseline"
0,"Mean Times Persistent (Per It.)",204,"Baseline"
0,"Mean Times Persistent (Per It.)",205,"Baseline"
0,"Mean Times Persistent (Per It.)",206,"Baseline"
0,"Mean Times Persistent (Per It.)",207,"Baseline"
0,"Mean Times Persistent (Per It.)",208,"Baseline"
0,"Mean Times Persistent (Per It.)",209,"Baseline"
0,"Mean Times Persistent (Per It.)",210,"Baseline"
0,"Mean Times Persistent (Per It.)",211,"Baseline"
0,"Mean Times Persistent (Per It.)",212,"Baseline"
0.04,"Mean Times Persistent (Per It.)",213,"Baseline"
0,"Mean Times Persistent (Per It.)",214,"Baseline"
0,"Mean Times Persistent (Per It.)",215,"Baseline"
0,"Mean Times Persistent (Per It.)",216,"Baseline"
0,"Mean Times Persistent (Per It.)",217,"Baseline"
0,"Mean Times Persistent (Per It.)",218,"Baseline"
0,"Mean Times Persistent (Per It.)",219,"Baseline"
0.01,"Mean Times Persistent (Per It.)",220,"Baseline"
0,"Mean Times Persistent (Per It.)",221,"Baseline"
0,"Mean Times Persistent (Per It.)",222,"Baseline"
0,"Mean Times Persistent (Per It.)",223,"Baseline"
0,"Mean Times Persistent (Per It.)",224,"Baseline"
0,"Mean Times Persistent (Per It.)",1,"EC_04"
0,"Mean Times Persistent (Per It.)",2,"EC_04"
0,"Mean Times Persistent (Per It.)",3,"EC_04"
0,"Mean Times Persistent (Per It.)",4,"EC_04"
0,"Mean Times Persistent (Per It.)",5,"EC_04"
0,"Mean Times Persistent (Per It.)",6,"EC_04"
0,"Mean Times Persistent (Per It.)",7,"EC_04"
0,"Mean Times Persistent (Per It.)",8,"EC_04"
0,"Mean Times Persistent (Per It.)",9,"EC_04"
0,"Mean Times Persistent (Per It.)",10,"EC_04"
0,"Mean Times Persistent (Per It.)",11,"EC_04"
0,"Mean Times Persistent (Per It.)",12,"EC_04"
0,"Mean Times Persistent (Per It.)",13,"EC_04"
0,"Mean Times Persistent (Per It.)",14,"EC_04"
0,"Mean Times Persistent (Per It.)",15,"EC_04"
0,"Mean Times Persistent (Per It.)",16,"EC_04"
0,"Mean Times Persistent (Per It.)",17,"EC_04"
0,"Mean Times Persistent (Per It.)",18,"EC_04"
0,"Mean Times Persistent (Per It.)",19,"EC_04"
0,"Mean Times Persistent (Per It.)",20,"EC_04"
0,"Mean Times Persistent (Per It.)",21,"EC_04"
0,"Mean Times Persistent (Per It.)",22,"EC_04"
0,"Mean Times Persistent (Per It.)",23,"EC_04"
0,"Mean Times Persistent (Per It.)",24,"EC_04"
0,"Mean Times Persistent (Per It.)",25,"EC_04"
0,"Mean Times Persistent (Per It.)",26,"EC_04"
0,"Mean Times Persistent (Per It.)",27,"EC_04"
0,"Mean Times Persistent (Per It.)",28,"EC_04"
0,"Mean Times Persistent (Per It.)",29,"EC_04"
0,"Mean Times Persistent (Per It.)",30,"EC_04"
0,"Mean Times Persistent (Per It.)",31,"EC_04"
0,"Mean Times Persistent (Per It.)",32,"EC_04"
0,"Mean Times Persistent (Per It.)",33,"EC_04"
0,"Mean Times Persistent (Per It.)",34,"EC_04"
0,"Mean Times Persistent (Per It.)",35,"EC_04"
0,"Mean Times Persistent (Per It.)",36,"EC_04"
0,"Mean Times Persistent (Per It.)",37,"EC_04"
0,"Mean Times Persistent (Per It.)",38,"EC_04"
0,"Mean Times Persistent (Per It.)",39,"EC_04"
0,"Mean Times Persistent (Per It.)",40,"EC_04"
0,"Mean Times Persistent (Per It.)",41,"EC_04"
0,"Mean Times Persistent (Per It.)",42,"EC_04"
0,"Mean Times Persistent (Per It.)",43,"EC_04"
0.02,"Mean Times Persistent (Per It.)",44,"EC_04"
0,"Mean Times Persistent (Per It.)",45,"EC_04"
0,"Mean Times Persistent (Per It.)",46,"EC_04"
0,"Mean Times Persistent (Per It.)",47,"EC_04"
0,"Mean Times Persistent (Per It.)",48,"EC_04"
0,"Mean Times Persistent (Per It.)",49,"EC_04"
0,"Mean Times Persistent (Per It.)",50,"EC_04"
0,"Mean Times Persistent (Per It.)",51,"EC_04"
0,"Mean Times Persistent (Per It.)",52,"EC_04"
0,"Mean Times Persistent (Per It.)",53,"EC_04"
0,"Mean Times Persistent (Per It.)",54,"EC_04"
0,"Mean Times Persistent (Per It.)",55,"EC_04"
0,"Mean Times Persistent (Per It.)",56,"EC_04"
0,"Mean Times Persistent (Per It.)",57,"EC_04"
0,"Mean Times Persistent (Per It.)",58,"EC_04"
0,"Mean Times Persistent (Per It.)",59,"EC_04"
0,"Mean Times Persistent (Per It.)",60,"EC_04"
0.01,"Mean Times Persistent (Per It.)",61,"EC_04"
0.29,"Mean Times Persistent (Per It.)",62,"EC_04"
0.25,"Mean Times Persistent (Per It.)",63,"EC_04"
0.12,"Mean Times Persistent (Per It.)",64,"EC_04"
0.22,"Mean Times Persistent (Per It.)",65,"EC_04"
0.18,"Mean Times Persistent (Per It.)",66,"EC_04"
0.19,"Mean Times Persistent (Per It.)",67,"EC_04"
0.14,"Mean Times Persistent (Per It.)",68,"EC_04"
0.16,"Mean Times Persistent (Per It.)",69,"EC_04"
0,"Mean Times Persistent (Per It.)",70,"EC_04"
0,"Mean Times Persistent (Per It.)",71,"EC_04"
0.37,"Mean Times Persistent (Per It.)",72,"EC_04"
0.27,"Mean Times Persistent (Per It.)",73,"EC_04"
0.07,"Mean Times Persistent (Per It.)",74,"EC_04"
0.31,"Mean Times Persistent (Per It.)",75,"EC_04"
0.26,"Mean Times Persistent (Per It.)",76,"EC_04"
0.07,"Mean Times Persistent (Per It.)",77,"EC_04"
0.05,"Mean Times Persistent (Per It.)",78,"EC_04"
0.17,"Mean Times Persistent (Per It.)",79,"EC_04"
0.33,"Mean Times Persistent (Per It.)",80,"EC_04"
0.2,"Mean Times Persistent (Per It.)",81,"EC_04"
0.18,"Mean Times Persistent (Per It.)",82,"EC_04"
0.09,"Mean Times Persistent (Per It.)",83,"EC_04"
0.06,"Mean Times Persistent (Per It.)",84,"EC_04"
0.06,"Mean Times Persistent (Per It.)",85,"EC_04"
0,"Mean Times Persistent (Per It.)",86,"EC_04"
0.06,"Mean Times Persistent (Per It.)",87,"EC_04"
0.02,"Mean Times Persistent (Per It.)",88,"EC_04"
0.2,"Mean Times Persistent (Per It.)",89,"EC_04"
0.17,"Mean Times Persistent (Per It.)",90,"EC_04"
0.16,"Mean Times Persistent (Per It.)",91,"EC_04"
0.19,"Mean Times Persistent (Per It.)",92,"EC_04"
0.17,"Mean Times Persistent (Per It.)",93,"EC_04"
0.22,"Mean Times Persistent (Per It.)",94,"EC_04"
0.17,"Mean Times Persistent (Per It.)",95,"EC_04"
0.18,"Mean Times Persistent (Per It.)",96,"EC_04"
0,"Mean Times Persistent (Per It.)",97,"EC_04"
0,"Mean Times Persistent (Per It.)",98,"EC_04"
0,"Mean Times Persistent (Per It.)",99,"EC_04"
0,"Mean Times Persistent (Per It.)",100,"EC_04"
0,"Mean Times Persistent (Per It.)",101,"EC_04"
0.02,"Mean Times Persistent (Per It.)",102,"EC_04"
0,"Mean Times Persistent (Per It.)",103,"EC_04"
0,"Mean Times Persistent (Per It.)",104,"EC_04"
0,"Mean Times Persistent (Per It.)",105,"EC_04"
0,"Mean Times Persistent (Per It.)",106,"EC_04"
0,"Mean Times Persistent (Per It.)",107,"EC_04"
0,"Mean Times Persistent (Per It.)",108,"EC_04"
0.01,"Mean Times Persistent (Per It.)",109,"EC_04"
0,"Mean Times Persistent (Per It.)",110,"EC_04"
0,"Mean Times Persistent (Per It.)",111,"EC_04"
0,"Mean Times Persistent (Per It.)",112,"EC_04"
0,"Mean Times Persistent (Per It.)",113,"EC_04"
0.38,"Mean Times Persistent (Per It.)",114,"EC_04"
0.06,"Mean Times Persistent (Per It.)",115,"EC_04"
0.02,"Mean Times Persistent (Per It.)",116,"EC_04"
0,"Mean Times Persistent (Per It.)",117,"EC_04"
0,"Mean Times Persistent (Per It.)",118,"EC_04"
0,"Mean Times Persistent (Per It.)",119,"EC_04"
0,"Mean Times Persistent (Per It.)",120,"EC_04"
0,"Mean Times Persistent (Per It.)",121,"EC_04"
0,"Mean Times Persistent (Per It.)",122,"EC_04"
0,"Mean Times Persistent (Per It.)",123,"EC_04"
0,"Mean Times Persistent (Per It.)",124,"EC_04"
0,"Mean Times Persistent (Per It.)",125,"EC_04"
0,"Mean Times Persistent (Per It.)",126,"EC_04"
0,"Mean Times Persistent (Per It.)",127,"EC_04"
0,"Mean Times Persistent (Per It.)",128,"EC_04"
0,"Mean Times Persistent (Per It.)",129,"EC_04"
0,"Mean Times Persistent (Per It.)",130,"EC_04"
0,"Mean Times Persistent (Per It.)",131,"EC_04"
0,"Mean Times Persistent (Per It.)",132,"EC_04"
0,"Mean Times Persistent (Per It.)",133,"EC_04"
