"prevalence","area","scenario","water","week"
28.5714285714286,"loading","Baseline","Wet","1"
28.5714285714286,"loading","Baseline","Wet","1"
14.2857142857143,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
9.52380952380952,"loading","Baseline","Wet","1"
28.5714285714286,"loading","Baseline","Wet","1"
28.5714285714286,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
33.3333333333333,"loading","Baseline","Wet","1"
42.8571428571429,"loading","Baseline","Wet","1"
33.3333333333333,"loading","Baseline","Wet","1"
42.8571428571429,"loading","Baseline","Wet","1"
38.0952380952381,"loading","Baseline","Wet","1"
19.047619047619,"loading","Baseline","Wet","1"
33.3333333333333,"loading","Baseline","Wet","1"
14.2857142857143,"loading","Baseline","Wet","1"
28.5714285714286,"loading","Baseline","Wet","1"
38.0952380952381,"loading","Baseline","Wet","1"
14.2857142857143,"loading","Baseline","Wet","1"
4.76190476190476,"loading","Baseline","Wet","1"
38.0952380952381,"loading","Baseline","Wet","1"
38.0952380952381,"loading","Baseline","Wet","1"
9.52380952380952,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
19.047619047619,"loading","Baseline","Wet","1"
9.52380952380952,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
28.5714285714286,"loading","Baseline","Wet","1"
4.76190476190476,"loading","Baseline","Wet","1"
14.2857142857143,"loading","Baseline","Wet","1"
42.8571428571429,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
33.3333333333333,"loading","Baseline","Wet","1"
47.6190476190476,"loading","Baseline","Wet","1"
57.1428571428571,"loading","Baseline","Wet","1"
4.76190476190476,"loading","Baseline","Wet","1"
9.52380952380952,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
38.0952380952381,"loading","Baseline","Wet","1"
61.9047619047619,"loading","Baseline","Wet","1"
52.3809523809524,"loading","Baseline","Wet","1"
33.3333333333333,"loading","Baseline","Wet","1"
57.1428571428571,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
19.047619047619,"loading","Baseline","Wet","1"
38.0952380952381,"loading","Baseline","Wet","1"
47.6190476190476,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
38.0952380952381,"loading","Baseline","Wet","1"
52.3809523809524,"loading","Baseline","Wet","1"
28.5714285714286,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
28.5714285714286,"loading","Baseline","Wet","1"
9.52380952380952,"loading","Baseline","Wet","1"
19.047619047619,"loading","Baseline","Wet","1"
57.1428571428571,"loading","Baseline","Wet","1"
14.2857142857143,"loading","Baseline","Wet","1"
14.2857142857143,"loading","Baseline","Wet","1"
4.76190476190476,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
19.047619047619,"loading","Baseline","Wet","1"
52.3809523809524,"loading","Baseline","Wet","1"
14.2857142857143,"loading","Baseline","Wet","1"
38.0952380952381,"loading","Baseline","Wet","1"
28.5714285714286,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
42.8571428571429,"loading","Baseline","Wet","1"
14.2857142857143,"loading","Baseline","Wet","1"
14.2857142857143,"loading","Baseline","Wet","1"
33.3333333333333,"loading","Baseline","Wet","1"
42.8571428571429,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
47.6190476190476,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
42.8571428571429,"loading","Baseline","Wet","1"
4.76190476190476,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
42.8571428571429,"loading","Baseline","Wet","1"
28.5714285714286,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
57.1428571428571,"loading","Baseline","Wet","1"
19.047619047619,"loading","Baseline","Wet","1"
0,"loading","Baseline","Wet","1"
57.1428571428571,"loading","Baseline","Wet","1"
33.3333333333333,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
33.3333333333333,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
19.047619047619,"loading","Baseline","Wet","1"
61.9047619047619,"loading","Baseline","Wet","1"
19.047619047619,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
42.8571428571429,"loading","Baseline","Wet","1"
19.047619047619,"loading","Baseline","Wet","1"
71.4285714285714,"loading","Baseline","Wet","1"
57.1428571428571,"loading","Baseline","Wet","1"
19.047619047619,"loading","Baseline","Wet","1"
28.5714285714286,"loading","Baseline","Wet","1"
23.8095238095238,"loading","Baseline","Wet","1"
7.14285714285714,"cleaning","Baseline","Wet","1"
10.7142857142857,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
14.2857142857143,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
10.7142857142857,"cleaning","Baseline","Wet","1"
7.14285714285714,"cleaning","Baseline","Wet","1"
10.7142857142857,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
42.8571428571429,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
10.7142857142857,"cleaning","Baseline","Wet","1"
28.5714285714286,"cleaning","Baseline","Wet","1"
14.2857142857143,"cleaning","Baseline","Wet","1"
14.2857142857143,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
7.14285714285714,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
10.7142857142857,"cleaning","Baseline","Wet","1"
3.57142857142857,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
3.57142857142857,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
3.57142857142857,"cleaning","Baseline","Wet","1"
3.57142857142857,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
25,"cleaning","Baseline","Wet","1"
14.2857142857143,"cleaning","Baseline","Wet","1"
25,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
10.7142857142857,"cleaning","Baseline","Wet","1"
7.14285714285714,"cleaning","Baseline","Wet","1"
35.7142857142857,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
17.8571428571429,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
3.57142857142857,"cleaning","Baseline","Wet","1"
21.4285714285714,"cleaning","Baseline","Wet","1"
17.8571428571429,"cleaning","Baseline","Wet","1"
17.8571428571429,"cleaning","Baseline","Wet","1"
32.1428571428571,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
10.7142857142857,"cleaning","Baseline","Wet","1"
28.5714285714286,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
3.57142857142857,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
17.8571428571429,"cleaning","Baseline","Wet","1"
32.1428571428571,"cleaning","Baseline","Wet","1"
17.8571428571429,"cleaning","Baseline","Wet","1"
10.7142857142857,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
14.2857142857143,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
3.57142857142857,"cleaning","Baseline","Wet","1"
7.14285714285714,"cleaning","Baseline","Wet","1"
7.14285714285714,"cleaning","Baseline","Wet","1"
21.4285714285714,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
7.14285714285714,"cleaning","Baseline","Wet","1"
7.14285714285714,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
21.4285714285714,"cleaning","Baseline","Wet","1"
17.8571428571429,"cleaning","Baseline","Wet","1"
25,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
42.8571428571429,"cleaning","Baseline","Wet","1"
3.57142857142857,"cleaning","Baseline","Wet","1"
21.4285714285714,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
57.1428571428571,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
7.14285714285714,"cleaning","Baseline","Wet","1"
3.57142857142857,"cleaning","Baseline","Wet","1"
32.1428571428571,"cleaning","Baseline","Wet","1"
21.4285714285714,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
7.14285714285714,"cleaning","Baseline","Wet","1"
0,"cleaning","Baseline","Wet","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
10,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
15,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
0,"sorting","Baseline","Dry","1"
